name,db_id,industry,chairman,secretary,address,market,lat,lon,street
"Sierra Buttes Gold, Lim.",48815,MISCELLANEOUS,Count de Torre Diaz.,"D. Urquhart, S.","74 Gracechurch street, E.C.",,51.512944000000005,-0.08102000000000001,Gracechurch street
"Maudslay, Sons, & Field, L., Pf",46102,MISCELLANEOUS,James Mason.,"J. G. Parry, S.","87 Cannon street, E.C.",London.,51.512021999999995,-0.08825999999999999,Cannon street
"Moodie's Gold Mining & Exploration, Ltd.",46569,MISCELLANEOUS,W. de la Rue.,"Guy Robins, S.","101 Leadenhall street, E.C.",London.,51.512506,-0.07998,Leadenhall street
New Brunswick 1st mort. 5 % bnds.,33219,RAILWAYS,J. R. Chipperton.,A.H. Oxenford,"5 Angel court, E.C.",,51.51483,-0.0854,Angel court
"Maxim-Nordenfelt Guns & Ammunition, Limited",46113,MISCELLANEOUS,L. Fisher.,E. McNeill,"Old Broad street, E.C.",,51.5155,-0.0835,Old Broad street
"New South Wales Mortgage, Loan, and Agency, Lim.",46910,MISCELLANEOUS,Hon.G.T.Kenyon.,D. Mitchell,"Queen Victoria street, E.C.",,51.512,-0.093,Queen Victoria street
Indo-European Telegrph. L,44920,MISCELLANEOUS,"J. D. Dyason, C.M.G. W. E. Goode",,"Queen Victoria street, E.C.",London.,51.512,-0.093,Queen Victoria street
"Richmond Consolidated Mining, Limited",48045,MISCELLANEOUS,,B. McNeill,"25A Old Broad street, E.C.",London.,51.51565,-0.083,Old Broad street
Beira Alta (Portuguese) 3 % obligns.,30330,RAILWAYS,A. Bischoffberger.,J.B. Pitman,"10 Clements lane, E.C.",London,51.51256,-0.0853,Clements lane
"Rio Tinto 5 % mortgage bonds, 1880",48085,MISCELLANEOUS,H.M. Matheson.,G.N. Thomson,"30 St Swithin's lane, E.C.","London, &c.",51.51218,-0.08639999999999999,St Swithin's lane
Somerset & Dorset Bath Exten. 5 %,34098,RAILWAYS,Fred. Tendron.,John Saul,"138 Leadenhall street, E.C.",London.,51.512728,-0.07924,Leadenhall street
West of England Fire & Life,21051,INSURANCE COMPANIES,"C. A. V. Conybeare, M.P.",S. C. Fox,"76 Cornhill, E.C.",London. [Earg-,51.5135,-0.083,Cornhill
"South Indian 4 1/2 % per. deb. stock, gtd.",34134,RAILWAYS,H. J. Marshale.,H. Clarke,"4 Nicholas lane, E.C.",London.,51.512524000000006,-0.08592,Nicholas lane
Isle of Wight,32274,RAILWAYS,Wm. Gen. Hartsford. C.E.,W.M. Jackson,"38 Lombard street, E.C.",,51.513228,-0.08624,Lombard street
"Panulcillo Copper Co., Limited, ord",47429,MISCELLANEOUS,R. L. Barrow.,W. W. Holmes,"18 King st., Cheapside, E.C.",London.*,51.514108,-0.09464,King st
United N. Jersey Cnl. & Rl. 6 % stl. 1894,34446,RAILWAYS,J. G. Johnson.,David Greene,"3 Great Winchester street, E.C.",,51.515518,-0.08394,Great Winchester street
"Rudge Cycle, Limited",48244,MISCELLANEOUS,J. W. Johns.,C. L. Emmott,"61 Moorgate st., Leadenhall buildings, E.C.",,51.516866,-0.08678,Moorgate st
West Ham Corp. 3 1/4 % stock,50398,MISCELLANEOUS,R. Cowling.,H. M. Trower,"34 Nicholas lane, Lombard street, E.C.",London.,51.512704,-0.08532,Nicholas lane
"East Argentine, L., ? 6 % deb. stock",31327,RAILWAYS,,W. F. Owen,"35 Queen Victoria street, E.C.",,51.51221,-0.0923,Queen Victoria street
"Greenwood & Batley, L, ord",44325,MISCELLANEOUS,Lord Gifford.,C. H. Weatherley,"19 St Swithin's lane, E.C.",London.,51.512114000000004,-0.08661999999999999,St Swithin's lane
