Date,South Sea Company,Bank of England,East India Company,Royal African Company,Million Bank,Royal Exchange Assurance,London Assurance,Mississippi Company,Dutch East India Co. (VOC),Dutch West India Co. (WIC),Stad Rotterdam (insurance),Middelburg Assurance
1720-09-17,700.0,220.0,315.0,110.0,400.0,110.0,59.0,4633.0,,,,
1720-09-18,705.0,218.0,315.0,105.0,400.0,100.0,60.0,4566.0,,450.0,4000.0,
1720-09-19,660.0,216.0,300.0,104.0,400.0,100.0,53.0,4473.0,,,,
1720-09-20,630.0,210.0,300.0,95.0,390.0,100.0,50.0,4483.0,,,,
1720-09-21,640.0,220.0,300.0,100.0,400.0,95.0,50.0,,,452.5,3900.0,
1720-09-22,,,,,400.0,,,,,,,
1720-09-23,595.0,210.0,290.0,95.0,,90.0,48.0,4433.0,,450.0,3825.0,
1720-09-24,590.0,205.0,285.0,85.0,390.0,80.0,40.0,4497.0,1014.0,412.5,3975.0,
1720-09-25,570.0,215.0,280.0,80.0,390.0,90.0,40.0,4853.0,,,,
1720-09-26,565.0,215.0,275.0,78.0,390.0,70.0,38.0,5100.0,,,,
1720-09-27,535.0,,280.0,65.0,380.0,,33.0,4967.0,,,,
1720-09-28,440.0,,270.0,60.0,370.0,65.0,35.0,5000.0,,387.5,4250.0,
1720-09-29,,,,,370.0,,,,,,,
1720-09-30,400.0,,240.0,60.0,,60.0,30.0,5133.0,1050.0,385.0,4250.0,1620.0
1720-10-01,410.0,,240.0,60.0,370.0,63.0,33.0,5167.0,,,,
1720-10-02,400.0,,230.0,55.0,380.0,,32.0,5167.0,,345.0,3600.0,
1720-10-03,405.0,,220.0,55.0,380.0,,33.0,5107.0,,,,
1720-10-04,390.0,,230.0,60.0,290.0,70.0,30.0,4919.0,,,,
1720-10-05,370.0,,220.0,60.0,280.0,70.0,30.0,4833.0,,,,
1720-10-06,,,,,280.0,,,,,,3300.0,
1720-10-07,300.0,,190.0,55.0,,65.0,28.0,4787.0,1020.0,270.0,3175.0,2160.0
1720-10-08,300.0,,190.0,55.0,280.0,45.0,25.0,,,,,
1720-10-09,180.0,,175.0,50.0,280.0,40.0,30.0,4800.0,1010.0,270.0,3150.0,2160.0
1720-10-10,200.0,,160.0,45.0,280.0,38.0,18.0,4880.0,,,,
1720-10-11,310.0,,180.0,60.0,280.0,45.0,25.0,4847.0,,,,
1720-10-12,290.0,190.0,195.0,50.0,280.0,45.0,30.0,,1000.0,,2225.0,2100.0
1720-10-13,,,,,200.0,,,4753.0,,,,
1720-10-14,260.0,190.0,180.0,60.0,,50.0,30.0,4467.0,870.0,,2650.0,2040.0
1720-10-15,260.0,190.0,180.0,55.0,200.0,45.0,25.0,3933.0,,,,
1720-10-16,275.0,190.0,190.0,50.0,200.0,45.0,25.0,3733.0,855.0,210.0,2275.0,2040.0
1720-10-17,260.0,190.0,190.0,50.0,200.0,40.0,20.0,3400.0,,,,
1720-10-18,270.0,190.0,180.0,55.0,200.0,40.0,20.0,3667.0,,,,
1720-10-19,265.0,180.0,175.0,55.0,200.0,35.0,20.0,,890.0,200.0,2150.0,
1720-10-20,,,,,200.0,,,3633.0,,,,
1720-10-21,255.0,180.0,175.0,50.0,,35.0,20.0,3200.0,840.0,195.0,2075.0,2100.0
1720-10-22,250.0,180.0,175.0,50.0,200.0,30.0,15.0,3267.0,,,,
1720-10-23,210.0,150.0,160.0,45.0,200.0,30.0,20.0,3330.0,,200.0,1975.0,2100.0
1720-10-24,210.0,140.0,150.0,40.0,180.0,25.0,16.0,3733.0,,,,
1720-10-25,200.0,140.0,145.0,40.0,180.0,27.0,17.0,4000.0,,,,
1720-10-26,195.0,140.0,150.0,42.0,180.0,27.0,17.0,,,130.0,1750.0,2160.0
1720-10-27,,,,,180.0,,,,,,,
1720-10-28,210.0,145.0,155.0,40.0,,25.0,17.0,4233.0,800.0,120.0,1575.0,1800.0
1720-10-29,215.0,155.0,170.0,46.0,180.0,30.0,20.0,4253.0,,,,
1720-10-30,240.0,160.0,190.0,46.0,190.0,25.0,20.0,4117.0,830.0,150.0,1500.0,1800.0
1720-10-31,240.0,160.0,190.0,50.0,210.0,25.0,22.0,,,,,
1720-11-01,220.0,150.0,170.0,45.0,210.0,20.0,19.0,,,,,
1720-11-02,220.0,148.0,165.0,50.0,210.0,22.0,19.0,3967.0,825.0,150.0,1125.0,2160.0
1720-11-03,,,,,210.0,,,,,,,
1720-11-04,220.0,145.0,155.0,50.0,,22.0,19.0,3650.0,,150.0,1475.0,2250.0
1720-11-05,220.0,148.0,160.0,50.0,210.0,22.0,19.0,3500.0,,,,
1720-11-06,210.0,145.0,160.0,50.0,210.0,20.0,20.0,3600.0,,150.0,1400.0,2220.0
1720-11-07,212.0,140.0,160.0,47.0,210.0,20.0,19.0,3450.0,,,,
1720-11-08,208.0,142.0,160.0,47.0,210.0,20.0,20.0,3600.0,,,,
1720-11-09,220.0,142.0,160.0,48.0,210.0,20.0,22.0,,770.0,110.0,1275.0,2160.0
1720-11-10,,,,,200.0,,,,,,,
1720-11-11,210.0,142.0,165.0,48.0,,19.0,20.0,3517.0,790.0,108.0,,
1720-11-12,212.0,142.0,170.0,47.0,200.0,18.0,20.0,3517.0,,,,
1720-11-13,208.0,141.0,165.0,45.0,200.0,18.0,19.0,3677.0,,,1125.0,2040.0
1720-11-14,220.0,147.0,168.0,47.0,200.0,18.0,18.0,3733.0,,,,
1720-11-15,215.0,150.0,180.0,47.0,200.0,18.0,18.0,3733.0,,,,
1720-11-16,220.0,150.0,180.0,50.0,200.0,20.0,20.0,,,125.0,,1980.0
1720-11-17,,,,,190.0,,,3633.0,,,,
1720-11-18,214.0,150.0,180.0,48.0,,19.0,19.0,3483.0,795.0,125.0,1125.0,1980.0
1720-11-19,214.0,149.0,180.0,48.0,190.0,19.0,19.0,3367.0,,,,
1720-11-20,213.0,148.0,175.0,52.0,190.0,15.0,18.0,3370.0,,,,
1720-11-21,212.0,148.0,175.0,52.0,190.0,14.0,16.0,3420.0,,,,
1720-11-22,210.0,153.0,178.0,47.0,190.0,14.0,16.0,3300.0,830.0,120.0,1075.0,2040.0
1720-11-23,210.0,152.0,180.0,50.0,190.0,15.0,17.0,,825.0,120.0,875.0,2040.0
1720-11-24,,,,,190.0,,,3367.0,,,,
1720-11-25,195.0,152.0,175.0,52.0,,12.5,17.5,3640.0,855.0,122.5,,1920.0
1720-11-26,195.0,147.0,170.0,45.0,190.0,12.0,12.0,,,,,
1720-11-27,160.0,140.0,160.0,38.0,190.0,12.0,12.0,,894.5,122.0,925.0,
1720-11-28,160.0,142.0,160.0,34.0,190.0,10.0,10.0,,,,,
1720-11-29,175.0,140.0,170.0,34.0,190.0,10.0,10.0,,,,,
1720-11-30,205.0,150.0,180.0,40.0,190.0,11.0,12.0,,,,775.0,
1720-12-01,,,,,190.0,,,,,,,
1720-12-02,210.0,147.0,176.0,45.0,,14.0,14.0,,875.0,121.5,775.0,
1720-12-03,208.0,144.0,175.0,42.0,190.0,11.0,12.5,,,,,
1720-12-04,197.0,143.0,166.0,40.0,190.0,11.0,12.0,,870.0,122.5,775.0,
1720-12-05,181.0,143.0,166.0,47.0,180.0,10.0,12.5,,,,,
1720-12-06,185.0,140.0,162.0,50.0,180.0,10.0,12.0,,,,,
1720-12-07,,142.0,162.0,45.0,180.0,10.0,12.0,,,,,
1720-12-08,,,,,180.0,,,,,,,
1720-12-09,,148.0,165.0,45.0,,11.0,13.5,,870.0,122.0,775.0,
1720-12-10,,150.0,170.0,48.0,180.0,10.5,12.62,,,,,
1720-12-11,,145.0,165.0,48.0,180.0,10.5,12.5,,845.0,110.0,725.0,
1720-12-12,,145.0,165.0,46.0,180.0,10.0,12.5,,,,,
1720-12-13,,144.0,165.0,46.0,180.0,10.0,12.0,,,,,
1720-12-14,,144.0,160.0,45.0,180.0,10.0,12.0,,,,750.0,
1720-12-15,,,,,180.0,,,,,,,
1720-12-16,,142.0,160.0,45.0,,10.0,12.5,,840.0,105.0,675.0,
1720-12-17,,142.0,160.0,45.0,180.0,10.0,12.0,,,,,
1720-12-18,,141.0,160.0,45.0,180.0,9.5,12.5,,840.0,103.5,675.0,
1720-12-19,,145.0,160.0,45.0,180.0,10.0,12.5,,,,,
1720-12-20,,141.0,155.0,45.0,180.0,10.0,12.0,,,,,
1720-12-21,,141.0,150.0,45.0,175.0,9.5,11.0,,,,,
1720-12-22,,,,,175.0,,,,,,,
1720-12-23,,138.0,150.0,45.0,,9.5,11.0,,840.0,111.0,725.0,
1720-12-24,,137.0,148.0,41.0,175.0,7.5,10.0,,,,,
1720-12-25,,136.0,148.0,40.0,175.0,8.0,10.0,,,,,
1720-12-26,,145.0,158.0,40.0,175.0,8.5,10.5,,,,,
1720-12-27,,,,,175.0,,,,,,,
1720-12-28,,138.0,152.0,40.0,,8.5,10.5,,,,675.0,
1720-12-29,,,,,175.0,,,,,,,
1720-12-30,,141.0,155.0,42.0,,8.5,10.5,,,,,
1720-12-31,,142.0,160.0,42.0,175.0,8.5,10.0,,,,,
